PurchaseOrderID,PurchaseOrderDetailID,DueDate,OrderQty,ProductID,UnitPrice,LineTotal,ReceivedQty,RejectedQty,StockedQty,ModifiedDate,extraction_date
11,25,2011-12-28T00:00:00.000Z,3,439,45.4965,136.4895,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
11,26,2011-12-28T00:00:00.000Z,3,440,41.2230,123.6690,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
11,27,2011-12-28T00:00:00.000Z,3,441,39.1230,117.3690,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
12,28,2011-12-28T00:00:00.000Z,550,941,62.9895,34644.2250,550.00,82.00,468.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
13,29,2011-12-28T00:00:00.000Z,3,320,45.3705,136.1115,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
13,30,2011-12-28T00:00:00.000Z,3,321,40.4880,121.4640,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
13,31,2011-12-28T00:00:00.000Z,60,322,26.3655,1581.9300,60.00,0.00,60.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
14,32,2011-12-28T00:00:00.000Z,3,504,48.7620,146.2860,3.00,3.00,0.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
15,33,2011-12-28T00:00:00.000Z,3,497,34.1880,102.5640,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
16,34,2011-12-28T00:00:00.000Z,3,323,50.2635,150.7905,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
17,35,2011-12-29T00:00:00.000Z,550,523,10.7310,5902.0500,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
17,36,2011-12-29T00:00:00.000Z,550,524,14.1225,7767.3750,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
18,37,2011-12-29T00:00:00.000Z,60,492,50.2635,3015.8100,60.00,0.00,60.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
18,38,2011-12-29T00:00:00.000Z,60,493,57.1515,3429.0900,60.00,0.00,60.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
18,39,2011-12-29T00:00:00.000Z,60,494,53.2035,3192.2100,60.00,0.00,60.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
18,40,2011-12-29T00:00:00.000Z,60,495,63.6930,3821.5800,60.00,0.00,60.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
18,41,2011-12-29T00:00:00.000Z,60,496,48.9090,2934.5400,60.00,0.00,60.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
19,42,2011-12-29T00:00:00.000Z,550,908,21.0945,11601.9750,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
19,43,2011-12-29T00:00:00.000Z,550,909,30.4395,16741.7250,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
19,44,2011-12-29T00:00:00.000Z,550,910,40.9395,22516.7250,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
19,45,2011-12-29T00:00:00.000Z,550,911,21.0945,11601.9750,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
19,46,2011-12-29T00:00:00.000Z,550,912,30.4395,16741.7250,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
20,47,2011-12-29T00:00:00.000Z,60,506,9.1980,551.8800,60.00,0.00,60.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
21,48,2011-12-29T00:00:00.000Z,550,351,5.7750,3176.2500,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
21,49,2011-12-29T00:00:00.000Z,550,352,1.1550,635.2500,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
21,50,2011-12-29T00:00:00.000Z,550,679,5.7750,3176.2500,550.00,27.00,523.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
22,51,2011-12-29T00:00:00.000Z,550,507,23.3940,12866.7000,550.00,82.00,468.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
22,52,2011-12-29T00:00:00.000Z,550,508,27.6465,15205.5750,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
23,53,2011-12-29T00:00:00.000Z,550,355,1.3650,750.7500,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
23,54,2011-12-29T00:00:00.000Z,550,940,62.9895,34644.2250,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
23,55,2011-12-29T00:00:00.000Z,550,535,3.4860,1917.3000,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
24,56,2011-12-29T00:00:00.000Z,550,351,6.1950,3407.2500,550.00,550.00,0.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
24,57,2011-12-29T00:00:00.000Z,550,352,1.4700,808.5000,550.00,550.00,0.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
25,58,2011-12-29T00:00:00.000Z,550,507,22.1655,12191.0250,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
25,59,2011-12-29T00:00:00.000Z,550,508,29.2845,16106.4750,523.00,0.00,523.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
26,60,2011-12-29T00:00:00.000Z,3,491,19.9815,59.9445,3.00,0.00,3.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
27,61,2011-12-29T00:00:00.000Z,3,341,41.1705,123.5115,3.00,0.00,3.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
27,62,2011-12-29T00:00:00.000Z,3,342,39.0705,117.2115,3.00,0.00,3.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
27,63,2011-12-29T00:00:00.000Z,3,343,43.3440,130.0320,3.00,0.00,3.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
27,64,2011-12-29T00:00:00.000Z,3,344,39.0705,117.2115,3.00,0.00,3.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
27,65,2011-12-29T00:00:00.000Z,3,345,36.9705,110.9115,3.00,0.00,3.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
27,66,2011-12-29T00:00:00.000Z,3,346,41.2440,123.7320,3.00,0.00,3.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
28,67,2011-12-29T00:00:00.000Z,550,935,31.4895,17319.2250,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
28,68,2011-12-29T00:00:00.000Z,550,936,48.2895,26559.2250,550.00,0.00,550.00,2011-12-22T00:00:00.000Z,2025-04-24T15:32:19.678Z
29,69,2012-01-22T00:00:00.000Z,3,375,43.3440,130.0320,3.00,0.00,3.00,2012-01-15T00:00:00.000Z,2025-04-24T15:32:19.678Z
29,70,2012-01-22T00:00:00.000Z,3,376,39.0705,117.2115,3.00,0.00,3.00,2012-01-15T00:00:00.000Z,2025-04-24T15:32:19.678Z
29,71,2012-01-22T00:00:00.000Z,3,377,36.9705,110.9115,3.00,0.00,3.00,2012-01-15T00:00:00.000Z,2025-04-24T15:32:19.678Z
29,72,2012-01-22T00:00:00.000Z,3,378,41.2440,123.7320,3.00,0.00,3.00,2012-01-15T00:00:00.000Z,2025-04-24T15:32:19.678Z
29,73,2012-01-22T00:00:00.000Z,3,379,36.9705,110.9115,3.00,0.00,3.00,2012-01-15T00:00:00.000Z,2025-04-24T15:32:19.678Z
30,74,2012-01-22T00:00:00.000Z,550,476,15.8865,8737.5750,550.00,0.00,550.00,2012-01-15T00:00:00.000Z,2025-04-24T15:32:19.678Z
30,75,2012-01-22T00:00:00.000Z,550,477,11.6655,6416.0250,550.00,55.00,495.00,2012-01-15T00:00:00.000Z,2025-04-24T15:32:19.678Z
30,76,2012-01-22T00:00:00.000Z,550,478,11.0880,6098.4000,550.00,0.00,550.00,2012-01-15T00:00:00.000Z,2025-04-24T15:32:19.678Z
31,77,2012-01-22T00:00:00.000Z,3,402,47.4705,142.4115,3.00,0.00,3.00,2012-01-15T00:00:00.000Z,2025-04-24T15:32:19.678Z
32,78,2012-01-22T00:00:00.000Z,550,510,23.0790,12693.4500,550.00,82.00,468.00,2012-01-15T00:00:00.000Z,2025-04-24T15:32:19.678Z
32,79,2012-01-22T00:00:00.000Z,550,511,29.2740,16100.7000,550.00,0.00,550.00,2012-01-15T00:00:00.000Z,2025-04-24T15:32:19.678Z
33,80,2012-01-30T00:00:00.000Z,3,403,45.3705,136.1115,3.00,0.00,3.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
33,81,2012-01-30T00:00:00.000Z,3,404,49.6440,148.9320,3.00,0.00,3.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
33,82,2012-01-30T00:00:00.000Z,3,405,45.3705,136.1115,3.00,0.00,3.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
34,83,2012-01-30T00:00:00.000Z,550,525,2.3205,1276.2750,550.00,550.00,0.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
35,84,2012-01-30T00:00:00.000Z,550,526,3.6435,2003.9250,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
36,85,2012-01-30T00:00:00.000Z,550,908,21.0945,11601.9750,468.00,0.00,468.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
36,86,2012-01-30T00:00:00.000Z,550,909,30.4395,16741.7250,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
36,87,2012-01-30T00:00:00.000Z,550,913,40.9395,22516.7250,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
37,88,2012-01-30T00:00:00.000Z,60,356,3.6015,216.0900,60.00,0.00,60.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
37,89,2012-01-30T00:00:00.000Z,60,357,3.9795,238.7700,60.00,0.00,60.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
38,90,2012-01-30T00:00:00.000Z,550,935,31.4895,17319.2250,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
38,91,2012-01-30T00:00:00.000Z,550,936,48.2895,26559.2250,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
39,92,2012-01-30T00:00:00.000Z,550,524,12.9675,7132.1250,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
40,93,2012-01-30T00:00:00.000Z,550,911,21.0945,11601.9750,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
40,94,2012-01-30T00:00:00.000Z,550,912,30.4395,16741.7250,550.00,55.00,495.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
41,95,2012-01-30T00:00:00.000Z,550,910,40.9395,22516.7250,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
42,96,2012-01-30T00:00:00.000Z,550,937,62.9895,34644.2250,550.00,82.00,468.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
43,97,2012-01-30T00:00:00.000Z,3,463,47.5230,142.5690,3.00,0.00,3.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
43,98,2012-01-30T00:00:00.000Z,3,464,45.4230,136.2690,3.00,0.00,3.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
43,99,2012-01-30T00:00:00.000Z,3,465,49.6965,149.0895,3.00,0.00,3.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
44,100,2012-01-30T00:00:00.000Z,3,462,47.6805,143.0415,3.00,3.00,0.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
45,101,2012-01-30T00:00:00.000Z,550,510,23.4045,12872.4750,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
45,102,2012-01-30T00:00:00.000Z,550,511,27.8670,15326.8500,523.00,0.00,523.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
46,103,2012-01-30T00:00:00.000Z,550,527,6.7515,3713.3250,468.00,0.00,468.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
47,104,2012-01-30T00:00:00.000Z,550,938,31.4895,17319.2250,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
47,105,2012-01-30T00:00:00.000Z,550,939,48.2895,26559.2250,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
47,106,2012-01-30T00:00:00.000Z,550,509,36.2775,19952.6250,550.00,0.00,550.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
48,107,2012-01-30T00:00:00.000Z,60,492,50.7465,3044.7900,60.00,0.00,60.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
48,108,2012-01-30T00:00:00.000Z,60,493,58.2645,3495.8700,60.00,0.00,60.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
48,109,2012-01-30T00:00:00.000Z,60,494,50.7465,3044.7900,60.00,0.00,60.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
48,110,2012-01-30T00:00:00.000Z,60,495,62.9265,3775.5900,60.00,0.00,60.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
48,111,2012-01-30T00:00:00.000Z,60,496,49.6545,2979.2700,60.00,0.00,60.00,2012-01-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
49,112,2012-02-03T00:00:00.000Z,550,523,10.3845,5711.4750,550.00,0.00,550.00,2012-01-27T00:00:00.000Z,2025-04-24T15:32:19.678Z
50,113,2012-02-03T00:00:00.000Z,3,422,47.6805,143.0415,3.00,0.00,3.00,2012-01-27T00:00:00.000Z,2025-04-24T15:32:19.678Z
50,114,2012-02-03T00:00:00.000Z,3,423,45.5805,136.7415,3.00,0.00,3.00,2012-01-27T00:00:00.000Z,2025-04-24T15:32:19.678Z
50,115,2012-02-03T00:00:00.000Z,3,424,49.8540,149.5620,3.00,0.00,3.00,2012-01-27T00:00:00.000Z,2025-04-24T15:32:19.678Z
51,116,2012-02-03T00:00:00.000Z,3,490,12.7155,38.1465,3.00,0.00,3.00,2012-01-27T00:00:00.000Z,2025-04-24T15:32:19.678Z
51,117,2012-02-03T00:00:00.000Z,3,491,19.9395,59.8185,3.00,0.00,3.00,2012-01-27T00:00:00.000Z,2025-04-24T15:32:19.678Z
52,118,2012-02-03T00:00:00.000Z,3,528,38.1570,114.4710,3.00,0.00,3.00,2012-01-27T00:00:00.000Z,2025-04-24T15:32:19.678Z
53,119,2012-02-07T00:00:00.000Z,3,505,44.2155,132.6465,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
54,120,2012-02-07T00:00:00.000Z,550,938,31.4895,17319.2250,550.00,550.00,0.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
54,121,2012-02-07T00:00:00.000Z,550,939,48.2895,26559.2250,550.00,550.00,0.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
55,122,2012-02-07T00:00:00.000Z,60,358,6.9825,418.9500,60.00,0.00,60.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
56,123,2012-02-07T00:00:00.000Z,3,375,43.2705,129.8115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
56,124,2012-02-07T00:00:00.000Z,3,376,47.5440,142.6320,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
56,125,2012-02-07T00:00:00.000Z,3,377,43.2705,129.8115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
56,126,2012-02-07T00:00:00.000Z,3,378,41.1705,123.5115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
57,127,2012-02-07T00:00:00.000Z,60,356,3.3810,202.8600,60.00,0.00,60.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
57,128,2012-02-07T00:00:00.000Z,60,357,4.3155,258.9300,60.00,0.00,60.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
58,129,2012-02-07T00:00:00.000Z,3,375,43.2705,129.8115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
58,130,2012-02-07T00:00:00.000Z,3,376,41.1705,123.5115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
58,131,2012-02-07T00:00:00.000Z,3,377,45.4440,136.3320,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
58,132,2012-02-07T00:00:00.000Z,3,378,41.1705,123.5115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
58,133,2012-02-07T00:00:00.000Z,3,379,39.0705,117.2115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
59,134,2012-02-07T00:00:00.000Z,3,490,12.3585,37.0755,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
60,135,2012-02-07T00:00:00.000Z,550,513,39.1965,21558.0750,550.00,0.00,550.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
61,136,2012-02-07T00:00:00.000Z,3,403,45.4440,136.3320,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
61,137,2012-02-07T00:00:00.000Z,3,404,41.1705,123.5115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
61,138,2012-02-07T00:00:00.000Z,3,405,39.0705,117.2115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
61,139,2012-02-07T00:00:00.000Z,3,406,43.3440,130.0320,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
62,140,2012-02-07T00:00:00.000Z,550,931,34.8705,19178.7750,550.00,82.00,468.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
62,141,2012-02-07T00:00:00.000Z,550,932,39.7635,21869.9250,550.00,0.00,550.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
63,142,2012-02-07T00:00:00.000Z,3,422,47.6805,143.0415,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
63,143,2012-02-07T00:00:00.000Z,3,423,45.5805,136.7415,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
63,144,2012-02-07T00:00:00.000Z,3,424,49.8540,149.5620,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
64,145,2012-02-07T00:00:00.000Z,3,341,47.5755,142.7265,3.00,3.00,0.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
64,146,2012-02-07T00:00:00.000Z,3,342,45.4755,136.4265,3.00,3.00,0.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
65,147,2012-02-07T00:00:00.000Z,550,931,34.3455,18890.0250,550.00,0.00,550.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
65,148,2012-02-07T00:00:00.000Z,550,932,39.2385,21581.1750,523.00,0.00,523.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
66,149,2012-02-07T00:00:00.000Z,3,341,47.4705,142.4115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
66,150,2012-02-07T00:00:00.000Z,3,342,45.3705,136.1115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
66,151,2012-02-07T00:00:00.000Z,3,343,49.6440,148.9320,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
66,152,2012-02-07T00:00:00.000Z,3,344,45.3705,136.1115,3.00,0.00,3.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
67,153,2012-02-07T00:00:00.000Z,550,928,32.7705,18023.7750,550.00,0.00,550.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
67,154,2012-02-07T00:00:00.000Z,550,929,37.0860,20397.3000,550.00,0.00,550.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
67,155,2012-02-07T00:00:00.000Z,550,930,43.0395,23671.7250,550.00,0.00,550.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
68,156,2012-02-07T00:00:00.000Z,550,332,10.8150,5948.2500,550.00,0.00,550.00,2012-01-31T00:00:00.000Z,2025-04-24T15:32:19.678Z
69,157,2012-02-08T00:00:00.000Z,550,948,82.8345,45558.9750,550.00,0.00,550.00,2012-02-01T00:00:00.000Z,2025-04-24T15:32:19.678Z
69,158,2012-02-08T00:00:00.000Z,550,907,82.8345,45558.9750,550.00,0.00,550.00,2012-02-01T00:00:00.000Z,2025-04-24T15:32:19.678Z
70,159,2012-02-08T00:00:00.000Z,1250,325,0.2100,262.5000,1250.00,0.00,1250.00,2012-02-01T00:00:00.000Z,2025-04-24T15:32:19.678Z
70,160,2012-02-08T00:00:00.000Z,1250,326,0.2100,262.5000,1250.00,125.00,1125.00,2012-02-01T00:00:00.000Z,2025-04-24T15:32:19.678Z
71,161,2012-02-08T00:00:00.000Z,3,320,49.6440,148.9320,3.00,0.00,3.00,2012-02-01T00:00:00.000Z,2025-04-24T15:32:19.678Z
71,162,2012-02-08T00:00:00.000Z,3,321,44.3205,132.9615,3.00,0.00,3.00,2012-02-01T00:00:00.000Z,2025-04-24T15:32:19.678Z
71,163,2012-02-08T00:00:00.000Z,60,322,28.6965,1721.7900,60.00,3.00,57.00,2012-02-01T00:00:00.000Z,2025-04-24T15:32:19.678Z
72,164,2012-02-08T00:00:00.000Z,550,930,42.5145,23382.9750,550.00,82.00,468.00,2012-02-01T00:00:00.000Z,2025-04-24T15:32:19.678Z
72,165,2012-02-08T00:00:00.000Z,550,921,5.5860,3072.3000,550.00,0.00,550.00,2012-02-01T00:00:00.000Z,2025-04-24T15:32:19.678Z
73,166,2012-02-23T00:00:00.000Z,60,952,15.7395,944.3700,60.00,0.00,60.00,2012-02-16T00:00:00.000Z,2025-04-24T15:32:19.678Z
74,167,2012-02-23T00:00:00.000Z,550,933,43.4595,23902.7250,550.00,550.00,0.00,2012-02-16T00:00:00.000Z,2025-04-24T15:32:19.678Z
74,168,2012-02-23T00:00:00.000Z,550,934,37.6215,20691.8250,550.00,550.00,0.00,2012-02-16T00:00:00.000Z,2025-04-24T15:32:19.678Z
75,169,2012-02-23T00:00:00.000Z,550,317,29.5785,16268.1750,550.00,0.00,550.00,2012-02-16T00:00:00.000Z,2025-04-24T15:32:19.678Z
