PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ShipMethodID,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,ModifiedDate,extraction_date
13,4,4,257,1604,4,2011-12-14T00:00:00.000Z,2011-12-23T00:00:00.000Z,1839.5055,147.1604,45.9876,2032.6535,2011-12-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
14,4,3,261,1690,5,2011-12-14T00:00:00.000Z,2011-12-23T00:00:00.000Z,146.2860,11.7029,3.6572,161.6461,2011-12-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
15,4,4,251,1566,5,2011-12-14T00:00:00.000Z,2011-12-23T00:00:00.000Z,102.5640,8.2051,2.5641,113.3332,2011-12-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
16,4,4,253,1698,5,2011-12-14T00:00:00.000Z,2011-12-23T00:00:00.000Z,150.7905,12.0632,3.7698,166.6235,2011-12-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
17,4,4,255,1560,5,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,13669.4250,1093.5540,341.7356,15104.7146,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
18,4,4,256,1692,5,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,16393.2300,1311.4584,409.8308,18114.5192,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
19,4,4,259,1696,2,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,79204.1250,6336.3300,1980.1031,87520.5581,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
20,4,4,260,1504,1,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,551.8800,44.1504,13.7970,609.8274,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
21,4,4,250,1544,1,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,6987.7500,559.0200,174.6938,7721.4638,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
22,4,4,254,1530,2,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,28072.2750,2245.7820,701.8069,31019.8639,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
23,4,4,257,1508,1,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,37312.2750,2984.9820,932.8069,41230.0639,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
24,4,3,261,1694,1,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,4215.7500,337.2600,105.3938,4658.4038,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
25,4,4,251,1624,2,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,28297.5000,2263.8000,707.4375,31268.7375,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
26,4,4,253,1548,2,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,59.9445,4.7956,1.4986,66.2387,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
27,4,4,255,1598,4,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,722.6100,57.8088,18.0653,798.4841,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
28,4,4,256,1658,5,2011-12-15T00:00:00.000Z,2011-12-24T00:00:00.000Z,43878.4500,3510.2760,1096.9613,48485.6873,2011-12-24T00:00:00.000Z,2025-04-24T15:33:20.534Z
29,4,4,259,1536,4,2012-01-08T00:00:00.000Z,2012-01-17T00:00:00.000Z,592.7985,47.4239,14.8200,655.0424,2012-01-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
30,4,4,260,1568,2,2012-01-08T00:00:00.000Z,2012-01-17T00:00:00.000Z,21252.0000,1700.1600,531.3000,23483.4600,2012-01-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
31,4,4,258,1648,5,2012-01-08T00:00:00.000Z,2012-01-17T00:00:00.000Z,142.4115,11.3929,3.5603,157.3647,2012-01-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
32,6,4,254,1646,2,2012-01-08T00:00:00.000Z,2012-01-17T00:00:00.000Z,28794.1500,2303.5320,719.8538,31817.5358,2012-01-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
33,4,4,257,1672,4,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,421.1550,33.6924,10.5289,465.3763,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
34,4,3,261,1600,1,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,1276.2750,102.1020,31.9069,1410.2839,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
35,4,4,251,1522,1,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,2003.9250,160.3140,50.0981,2214.3371,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
36,4,4,253,1570,2,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,50860.4250,4068.8340,1271.5106,56200.7696,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
37,4,4,255,1516,1,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,454.8600,36.3888,11.3715,502.6203,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
38,6,4,256,1506,5,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,43878.4500,3510.2760,1096.9613,48485.6873,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
39,4,4,252,1626,2,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,7132.1250,570.5700,178.3031,7880.9981,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
40,4,4,260,1542,2,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,28343.7000,2267.4960,708.5925,31319.7885,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
41,4,4,258,1610,4,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,22516.7250,1801.3380,562.9181,24880.9811,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
42,5,4,254,1638,5,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,34644.2250,2771.5380,866.1056,38281.8686,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
43,4,4,257,1582,5,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,427.9275,34.2342,10.6982,472.8599,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
44,4,3,261,1510,5,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,143.0415,11.4433,3.5760,158.0608,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
45,4,4,250,1526,2,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,28199.3250,2255.9460,704.9831,31160.2541,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
46,4,4,253,1644,1,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,3713.3250,297.0660,92.8331,4103.2241,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
47,4,4,255,1680,5,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,63831.0750,5106.4860,1595.7769,70533.3379,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
48,4,4,256,1584,5,2012-01-16T00:00:00.000Z,2012-01-25T00:00:00.000Z,16340.3100,1307.2248,408.5078,18056.0426,2012-01-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
49,4,4,259,1620,5,2012-01-20T00:00:00.000Z,2012-01-29T00:00:00.000Z,5711.4750,456.9180,142.7869,6311.1799,2012-01-29T00:00:00.000Z,2025-04-24T15:33:20.534Z
50,5,4,260,1666,5,2012-01-20T00:00:00.000Z,2012-01-29T00:00:00.000Z,429.3450,34.3476,10.7336,474.4262,2012-01-29T00:00:00.000Z,2025-04-24T15:33:20.534Z
51,4,4,258,1592,2,2012-01-20T00:00:00.000Z,2012-01-29T00:00:00.000Z,97.9650,7.8372,2.4491,108.2513,2012-01-29T00:00:00.000Z,2025-04-24T15:33:20.534Z
52,4,4,254,1618,4,2012-01-20T00:00:00.000Z,2012-01-29T00:00:00.000Z,114.4710,9.1577,2.8618,126.4905,2012-01-29T00:00:00.000Z,2025-04-24T15:33:20.534Z
53,4,4,252,1612,4,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,132.6465,10.6117,3.3162,146.5744,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
54,6,3,261,1586,5,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,43878.4500,3510.2760,1096.9613,48485.6873,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
55,4,4,251,1500,1,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,418.9500,33.5160,10.4738,462.9398,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
56,4,4,253,1656,4,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,525.7665,42.0613,13.1442,580.9720,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
57,4,4,255,1572,1,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,461.7900,36.9432,11.5448,510.2780,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
58,4,4,256,1562,4,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,630.3780,50.4302,15.7595,696.5677,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
59,9,4,259,1662,2,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,37.0755,2.9660,0.9269,40.9684,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
60,4,4,260,1682,4,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,21558.0750,1724.6460,538.9519,23821.6729,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
61,4,4,258,1686,4,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,507.0870,40.5670,12.6772,560.3312,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
62,4,4,254,1684,5,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,41048.7000,3283.8960,1026.2175,45358.8135,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
63,4,4,257,1534,5,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,429.3450,34.3476,10.7336,474.4262,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
64,5,3,261,1614,5,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,279.1530,22.3322,6.9788,308.4640,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
65,4,4,251,1588,5,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,40471.2000,3237.6960,1011.7800,44720.6760,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
66,5,4,253,1622,5,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,563.5665,45.0853,14.0892,622.7410,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
67,4,4,255,1632,5,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,62092.8000,4967.4240,1552.3200,68612.5440,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
68,5,4,256,1608,5,2012-01-24T00:00:00.000Z,2012-02-02T00:00:00.000Z,5948.2500,475.8600,148.7063,6572.8163,2012-02-02T00:00:00.000Z,2025-04-24T15:33:20.534Z
69,4,4,259,1576,5,2012-01-25T00:00:00.000Z,2012-02-03T00:00:00.000Z,91117.9500,7289.4360,2277.9488,100685.3348,2012-02-03T00:00:00.000Z,2025-04-24T15:33:20.534Z
70,5,4,260,1590,1,2012-01-25T00:00:00.000Z,2012-02-03T00:00:00.000Z,525.0000,42.0000,13.1250,580.1250,2012-02-03T00:00:00.000Z,2025-04-24T15:33:20.534Z
71,4,4,258,1514,5,2012-01-25T00:00:00.000Z,2012-02-03T00:00:00.000Z,2003.6835,160.2947,50.0921,2214.0703,2012-02-03T00:00:00.000Z,2025-04-24T15:33:20.534Z
72,4,4,254,1498,4,2012-01-25T00:00:00.000Z,2012-02-03T00:00:00.000Z,26455.2750,2116.4220,661.3819,29233.0789,2012-02-03T00:00:00.000Z,2025-04-24T15:33:20.534Z
73,4,4,257,1674,2,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,944.3700,75.5496,23.6093,1043.5289,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
74,6,3,261,1652,4,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,44594.5500,3567.5640,1114.8638,49276.9778,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
75,4,4,251,1578,3,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,62843.5500,5027.4840,1571.0888,69442.1228,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
76,4,4,253,1538,5,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,37843.5750,3027.4860,946.0894,41817.1504,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
77,4,4,252,1556,4,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,25531.2750,2042.5020,638.2819,28212.0589,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
78,4,4,256,1554,5,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,694.1655,55.5332,17.3541,767.0528,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
79,4,4,259,1688,4,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,125.7480,10.0598,3.1437,138.9515,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
80,4,4,260,1580,5,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,150.7905,12.0632,3.7698,166.6235,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
81,4,4,258,1496,5,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,560.0070,44.8006,14.0002,618.8078,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
82,5,4,254,1494,2,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,8847.3000,707.7840,221.1825,9776.2665,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
83,4,4,257,1650,5,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,171.0765,13.6861,4.2769,189.0395,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
84,4,3,261,1654,4,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,20397.3000,1631.7840,509.9325,22539.0165,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
85,4,4,251,1664,3,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,14628.0750,1170.2460,365.7019,16164.0229,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
86,5,4,253,1678,3,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,58685.5500,4694.8440,1467.1388,64847.5328,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
87,4,4,255,1616,5,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,773.0100,61.8408,19.3253,854.1761,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
88,5,4,252,1492,5,2012-02-09T00:00:00.000Z,2012-02-18T00:00:00.000Z,656.5860,52.5269,16.4147,725.5276,2012-02-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
89,4,4,259,1602,5,2012-02-23T00:00:00.000Z,2012-03-03T00:00:00.000Z,1796.0355,143.6828,44.9009,1984.6192,2012-03-03T00:00:00.000Z,2025-04-24T15:33:20.534Z
90,4,4,260,1540,4,2012-02-23T00:00:00.000Z,2012-03-03T00:00:00.000Z,358.6275,28.6902,8.9657,396.2834,2012-03-03T00:00:00.000Z,2025-04-24T15:33:20.534Z
91,4,4,258,1628,5,2012-02-23T00:00:00.000Z,2012-03-03T00:00:00.000Z,34644.2250,2771.5380,866.1056,38281.8686,2012-03-03T00:00:00.000Z,2025-04-24T15:33:20.534Z
92,4,4,250,1604,4,2012-02-23T00:00:00.000Z,2012-03-03T00:00:00.000Z,257.5755,20.6060,6.4394,284.6209,2012-03-03T00:00:00.000Z,2025-04-24T15:33:20.534Z
93,4,4,257,1690,5,2012-02-27T00:00:00.000Z,2012-03-07T00:00:00.000Z,146.2860,11.7029,3.6572,161.6461,2012-03-07T00:00:00.000Z,2025-04-24T15:33:20.534Z
94,4,3,261,1566,5,2012-02-27T00:00:00.000Z,2012-03-07T00:00:00.000Z,102.5640,8.2051,2.5641,113.3332,2012-03-07T00:00:00.000Z,2025-04-24T15:33:20.534Z
95,4,4,251,1698,5,2012-02-27T00:00:00.000Z,2012-03-07T00:00:00.000Z,150.7905,12.0632,3.7698,166.6235,2012-03-07T00:00:00.000Z,2025-04-24T15:33:20.534Z
96,4,4,253,1560,5,2012-02-27T00:00:00.000Z,2012-03-07T00:00:00.000Z,13669.4250,1093.5540,341.7356,15104.7146,2012-03-07T00:00:00.000Z,2025-04-24T15:33:20.534Z
97,6,4,255,1692,5,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,16393.2300,1311.4584,409.8308,18114.5192,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
98,4,4,256,1696,4,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,73377.1500,5870.1720,1834.4288,81081.7508,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
99,4,4,259,1504,1,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,551.8800,44.1504,13.7970,609.8274,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
100,4,4,260,1544,1,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,6987.7500,559.0200,174.6938,7721.4638,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
101,5,4,258,1530,2,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,28072.2750,2245.7820,701.8069,31019.8639,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
102,4,4,254,1508,1,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,35394.9750,2831.5980,884.8744,39111.4474,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
103,4,4,257,1694,1,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,3407.2500,272.5800,85.1813,3765.0113,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
104,4,3,261,1624,2,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,28297.5000,2263.8000,707.4375,31268.7375,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
105,4,4,251,1548,2,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,59.9445,4.7956,1.4986,66.2387,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
106,4,4,253,1598,4,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,332.9550,26.6364,8.3239,367.9153,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
107,4,4,255,1658,5,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,43878.4500,3510.2760,1096.9613,48485.6873,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
108,4,4,256,1536,4,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,674.3835,53.9507,16.8596,745.1938,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
109,4,4,259,1568,2,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,31398.6750,2511.8940,784.9669,34695.5359,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
110,4,4,250,1648,5,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,142.4115,11.3929,3.5603,157.3647,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
111,4,4,258,1646,5,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,19236.5250,1538.9220,480.9131,21256.3601,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
112,4,4,254,1672,4,2012-03-08T00:00:00.000Z,2012-03-17T00:00:00.000Z,272.4435,21.7955,6.8111,301.0501,2012-03-17T00:00:00.000Z,2025-04-24T15:33:20.534Z
113,5,4,257,1600,1,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,1276.2750,102.1020,31.9069,1410.2839,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
114,4,3,261,1522,1,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,2003.9250,160.3140,50.0981,2214.3371,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
115,4,4,251,1570,2,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,50860.4250,4068.8340,1271.5106,56200.7696,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
116,4,4,253,1516,1,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,454.8600,36.3888,11.3715,502.6203,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
117,4,4,255,1506,5,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,43878.4500,3510.2760,1096.9613,48485.6873,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
118,5,4,256,1626,2,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,7132.1250,570.5700,178.3031,7880.9981,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
119,4,4,259,1542,2,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,28343.7000,2267.4960,708.5925,31319.7885,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
120,4,4,260,1610,4,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,22516.7250,1801.3380,562.9181,24880.9811,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
121,4,4,250,1638,5,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,34644.2250,2771.5380,866.1056,38281.8686,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
122,4,4,254,1582,4,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,266.2380,21.2990,6.6560,294.1930,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
123,5,4,257,1510,5,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,143.0415,11.4433,3.5760,158.0608,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
124,4,3,261,1526,2,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,28199.3250,2255.9460,704.9831,31160.2541,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
125,4,4,251,1644,1,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,3713.3250,297.0660,92.8331,4103.2241,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
126,4,4,253,1680,5,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,63831.0750,5106.4860,1595.7769,70533.3379,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
127,4,4,255,1584,5,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,16340.3100,1307.2248,408.5078,18056.0426,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
128,4,4,256,1620,5,2012-03-09T00:00:00.000Z,2012-03-18T00:00:00.000Z,5711.4750,456.9180,142.7869,6311.1799,2012-03-18T00:00:00.000Z,2025-04-24T15:33:20.534Z
129,4,4,259,1666,4,2012-03-14T00:00:00.000Z,2012-03-23T00:00:00.000Z,665.0280,53.2022,16.6257,734.8559,2012-03-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
130,4,4,260,1592,2,2012-03-14T00:00:00.000Z,2012-03-23T00:00:00.000Z,97.9650,7.8372,2.4491,108.2513,2012-03-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
131,4,4,258,1618,4,2012-03-14T00:00:00.000Z,2012-03-23T00:00:00.000Z,114.4710,9.1577,2.8618,126.4905,2012-03-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
132,6,4,254,1612,4,2012-03-14T00:00:00.000Z,2012-03-23T00:00:00.000Z,132.6465,10.6117,3.3162,146.5744,2012-03-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
133,4,4,257,1586,5,2012-03-28T00:00:00.000Z,2012-04-06T00:00:00.000Z,43878.4500,3510.2760,1096.9613,48485.6873,2012-04-06T00:00:00.000Z,2025-04-24T15:33:20.534Z
134,4,3,261,1500,1,2012-03-28T00:00:00.000Z,2012-04-06T00:00:00.000Z,418.9500,33.5160,10.4738,462.9398,2012-04-06T00:00:00.000Z,2025-04-24T15:33:20.534Z
